frame,time_s,rx,ry,gx,gy
261,4.3487130177514794,439,3831,581,2026
262,4.365374753451676,156,3823,629,2096
263,4.382036489151874,171,3823,684,2158
264,4.398698224852071,324,3827,750,2214
265,4.415359960552268,427,2375,824,2261
266,4.432021696252465,550,2508,898,2291
267,4.448683431952663,699,2628,978,2313
268,4.46534516765286,898,2717,1046,2320
269,4.482006903353057,1102,2745,1108,2322
270,4.498668639053254,1346,2708,1170,2319
271,4.515330374753452,1532,2616,1235,2306
272,4.531992110453649,332,3826,1303,2283
273,4.548653846153846,1810,2324,1381,2246
274,4.565315581854043,191,3824,1450,2202
275,4.581977317554241,319,3827,1512,2144
276,4.598639053254438,295,3826,1565,2080
277,4.615300788954635,292,3826,1605,2016
278,4.631962524654832,150,3821,1635,1950
279,4.64862426035503,154,3821,1655,1887
280,4.665285996055227,155,3821,1667,1833
281,4.681947731755424,2087,1621,1674,1784
282,4.698609467455621,227,3822,1675,1743
283,4.715271203155819,354,3827,1675,1713
284,4.731932938856016,284,3824,1674,1691
285,4.748594674556213,301,3824,1673,1679
286,4.76525641025641,160,3820,1673,1678
287,4.781918145956608,158,3820,1673,1686
288,4.798579881656805,190,3822,1675,1703
289,4.815241617357002,248,3824,1676,1729
290,4.831903353057199,141,3820,1675,1763
291,4.848565088757397,138,3821,1672,1809
292,4.865226824457594,123,3821,1662,1859
293,4.881888560157791,121,3821,1647,1917
294,4.898550295857988,133,3822,1622,1983
295,4.915212031558186,2007,1878,1588,2045
296,4.931873767258383,169,3823,1542,2108
297,4.94853550295858,1932,2098,1488,2168
298,4.965197238658777,1871,2233,1423,2219
299,4.981858974358975,1773,2398,1353,2260
300,4.9985207100591715,1648,2537,1280,2292
301,5.015182445759369,1455,2666,1214,2310
302,5.031844181459566,1245,2735,1152,2320
303,5.048505917159764,1009,2739,1085,2324
304,5.0651676528599605,795,2677,1019,2320
305,5.081829388560158,622,2579,944,2306
306,5.098491124260355,482,2459,866,2278
307,5.115152859960553,374,2340,789,2240
308,5.1318145956607495,292,2220,721,2192
309,5.148476331360947,486,3830,656,2131
310,5.165138067061144,178,2028,605,2065
311,5.181799802761342,142,1957,569,2001
312,5.1984615384615385,296,3826,540,1935
313,5.215123274161736,301,3826,522,1876
314,5.231785009861933,162,3822,512,1826
315,5.248446745562131,155,3822,507,1782
316,5.2651084812623274,108,3821,505,1747
317,5.281770216962525,396,3829,505,1722
318,5.298431952662722,409,3829,505,1707
319,5.31509368836292,416,3829,505,1702
320,5.331755424063116,411,3829,505,1706
321,5.348417159763314,372,3828,504,1719
322,5.365078895463511,356,3829,505,1741
323,5.381740631163709,352,3829,506,1772
324,5.398402366863905,94,1747,510,1814
325,5.415064102564102,104,1785,518,1862
326,5.4317258382643,119,1830,532,1914
327,5.448387573964497,141,1888,556,1975
328,5.465049309664694,171,1962,587,2038
329,5.481711045364891,207,2041,627,2097
330,5.498372781065089,261,2147,682,2158
331,5.515034516765286,324,2270,741,2207
332,5.531696252465483,416,2402,806,2250
333,5.54835798816568,527,2516,883,2285
334,5.565019723865878,684,2633,949,2306
335,5.581681459566075,865,2712,1014,2318
336,5.598343195266272,1068,2748,1081,2324
337,5.615004930966469,1260,2728,1141,2321
338,5.631666666666667,1372,2527,1208,2311
339,5.648328402366864,1628,2552,1280,2291
340,5.664990138067061,1757,2423,1347,2265
341,5.681651873767258,1856,2295,1420,2222
342,5.698313609467456,149,3820,1485,2171
343,5.714975345167653,157,3820,1535,2118
344,5.73163708086785,482,3831,1580,2057
345,5.748298816568047,458,3831,1614,1997
346,5.764960552268245,131,3819,1638,1942
347,5.781622287968442,143,3819,1656,1887
348,5.798284023668639,429,3830,1667,1840
349,5.814945759368836,170,3820,1672,1805
350,5.831607495069034,145,3819,1675,1776
351,5.8482692307692306,134,3819,1676,1757
352,5.864930966469428,252,3823,1676,1747
353,5.881592702169625,174,3821,1676,1747
354,5.898254437869823,418,3829,1675,1757
355,5.9149161735700195,418,3830,1674,1776
356,5.931577909270217,259,3824,1672,1804
357,5.948239644970414,265,3824,1668,1841
358,5.964901380670612,137,3820,1658,1883
359,5.9815631163708085,136,3820,1642,1935
360,5.998224852071006,2037,1829,1617,1991
361,6.014886587771203,2011,1899,1586,2048
362,6.031548323471401,1978,1987,1544,2106
363,6.0482100591715975,1938,2082,1492,2164
364,6.064871794871795,1884,2196,1433,2211
365,6.081533530571992,1807,2335,1366,2254
366,6.09819526627219,1483,2436,1295,2287
367,6.1148570019723865,1532,2621,1231,2307
368,6.131518737672584,1347,2706,1169,2318
369,6.148180473372781,1138,2747,1109,2323
370,6.164842209072979,923,2723,1048,2323
371,6.181503944773175,728,2650,985,2315
372,6.198165680473373,562,2533,911,2297
373,6.21482741617357,445,2419,843,2270
374,6.231489151873768,349,2300,776,2232
375,6.248150887573964,280,2187,709,2183
376,6.264812623274162,226,2093,654,2127
377,6.281474358974359,186,2015,609,2072
378,6.298136094674557,153,1947,574,2013
379,6.314797830374753,128,1890,548,1959
380,6.331459566074951,96,3821,531,1911
381,6.348121301775148,96,3821,519,1866
382,6.364783037475346,92,1777,512,1831
383,6.381444773175542,97,3820,508,1804
384,6.39810650887574,87,1740,506,1787
385,6.414768244575937,389,3830,506,1780
386,6.4314299802761346,109,3821,506,1782
387,6.448091715976331,137,3823,507,1793
388,6.464753451676529,457,3831,509,1813
389,6.481415187376726,419,3831,514,1840
390,6.4980769230769235,501,3832,522,1880
391,6.51473865877712,119,1845,534,1923
392,6.531400394477318,138,1893,553,1971
393,6.548062130177515,149,3824,581,2026
394,6.5647238658777125,195,2031,615,2079
395,6.581385601577909,236,2117,658,2132
396,6.598047337278107,296,2231,712,2184
397,6.614709072978304,365,2345,768,2226
398,6.6313708086785015,463,2461,832,2264
399,6.648032544378698,588,2575,900,2293
400,6.664694280078896,742,2668,961,2310
401,6.681356015779093,919,2731,1026,2320
402,6.6980177514792905,1122,2747,1089,2324
403,6.714679487179487,1291,2722,1148,2321
404,6.731341222879684,1349,2512,1216,2310
405,6.748002958579882,1624,2559,1284,2290
406,6.7646646942800785,1748,2446,1351,2262
407,6.781326429980276,1846,2322,1417,2222
408,6.797988165680473,1916,2222,1479,2174
409,6.814649901380671,303,3828,1529,2125
410,6.8313116370808675,456,3831,1571,2070
411,6.847973372781065,2045,1983,1605,2016
412,6.864635108481262,545,3832,1628,1967
413,6.88129684418146,2085,1871,1646,1921
414,6.8979585798816565,2097,1829,1657,1882
415,6.914620315581854,2104,1794,1664,1851
416,6.931282051282051,2107,1766,1668,1829
417,6.947943786982249,2108,1747,1670,1816
418,6.9646055226824455,2108,1735,1671,1811
419,6.981267258382643,2106,1730,1670,1817
420,6.99792899408284,2102,1734,1668,1832
421,7.014590729783038,2096,1746,1664,1853
422,7.0312524654832345,427,3829,1656,1885
423,7.047914201183432,402,3828,1645,1924
424,7.064575936883629,159,3821,1629,1967
425,7.081237672583827,189,3823,1603,2018
426,7.097899408284023,215,3823,1572,2069
427,7.114561143984221,157,3822,1532,2120
428,7.131222879684418,175,3822,1483,2172
429,7.147884615384616,182,3823,1424,2219
430,7.164546351084812,1801,2348,1365,2257
431,7.18120808678501,1687,2491,1298,2287
432,7.197869822485207,1399,2490,1231,2306
433,7.214531558185405,1379,2696,1173,2317
434,7.231193293885601,1181,2744,1115,2323
435,7.247855029585799,968,2738,1057,2323
436,7.264516765285996,778,2677,1000,2316
437,7.281178500986194,624,2587,934,2302
438,7.29784023668639,491,2475,864,2279
439,7.314501972386588,389,2361,801,2247
440,7.331163708086785,315,2259,741,2207
441,7.3478254437869825,259,3824,684,2159
442,7.364487179487179,294,3825,638,2110
443,7.381148915187377,295,3824,600,2058
444,7.397810650887574,209,3821,570,2006
445,7.4144723865877715,216,3822,549,1962
446,7.431134122287968,216,3822,534,1923
447,7.447795857988166,323,3826,524,1890
448,7.464457593688363,272,3825,519,1866
449,7.4811193293885605,277,3825,516,1851
450,7.497781065088757,270,3824,514,1844
451,7.514442800788955,263,3824,515,1846
452,7.531104536489152,410,3829,516,1856
453,7.5477662721893495,281,3825,521,1876
454,7.564428007889546,399,3829,529,1905
455,7.581089743589744,399,3830,540,1939
456,7.597751479289941,182,3823,557,1980
457,7.6144132149901385,150,3823,579,2023
458,7.631074950690335,258,3826,609,2071
459,7.647736686390533,261,3826,649,2123
460,7.66439842209073,332,3828,693,2167
461,7.681060157790927,341,2320,746,2211
462,7.697721893491124,424,2427,806,2250
463,7.714383629191322,530,2532,865,2279
464,7.731045364891519,662,2626,927,2301
465,7.747707100591716,815,2702,989,2315
466,7.764368836291913,994,2743,1047,2323
467,7.781030571992111,1186,2744,1110,2323
468,7.797692307692308,1360,2703,1174,2318
469,7.814354043392505,1375,2489,1235,2306
470,7.831015779092702,1658,2538,1300,2285
471,7.8476775147929,1763,2437,1363,2256
472,7.864339250493097,1849,2333,1422,2219
473,7.881000986193294,193,3824,1480,2173
474,7.897662721893491,212,3824,1528,2127
